category,oid
volleyball,770457906
boardgames,720955404
boardgames,463889624
hockey,573984210
boardgames,867549202
basketball,517149005
athletics,731046922
autosport,759095431
hockey,223960908
motosport,39021409
autosport,42587423
athletics,896686111
winter_sport,759592926
autosport,733364110
tennis,86508807
basketball,194604309
volleyball,53073826
tennis,444234900
hockey,529343505
boardgames,624444012
boardgames,249455008
autosport,302563336
hockey,742710000
boardgames,855343237
martial_arts,891104532
hockey,567098537
tennis,663005300
football,360837705
martial_arts,695496003
basketball,692130106
boardgames,415497137
basketball,479057125
volleyball,697977732
martial_arts,647248211
motosport,184257327
motosport,244390012
autosport,169782234
boardgames,379077831
football,638216721
motosport,675028903
athletics,724673712
tennis,542970915
boardgames,758394115
volleyball,514263414
motosport,307052612
winter_sport,720971414
tennis,883757433
boardgames,952343224
athletics,154620504
boardgames,867549202
athletics,95038303
esport,153599208
basketball,28624709
basketball,199165412
hockey,669566726
winter_sport,388651911
football,907386212
football,859305226
esport,732864905
martial_arts,312888017
athletics,150273323
tennis,557484721
boardgames,461441908
athletics,910049717
autosport,137256429
martial_arts,432194902
tennis,39708933
football,165244818
basketball,270775309
tennis,421579134
boardgames,395353112
basketball,824743609
winter_sport,290484631
basketball,159768514
volleyball,503664137
hockey,529343505
tennis,461848124
hockey,367128632
hockey,742321024
winter_sport,272409826
athletics,424194001
martial_arts,96550538
athletics,45918031
volleyball,435847516
athletics,703540237
extreme,961037402
motosport,145846507
football,675338101
athletics,280458608
tennis,309347409
winter_sport,675267313
basketball,737880515
athletics,893681523
tennis,798959002
basketball,938731820
hockey,656339234
motosport,765370701
volleyball,75344628
tennis,919523134
martial_arts,691699936
motosport,810672125
tennis,796343309
boardgames,188871818
tennis,969939508
motosport,433461909
boardgames,869290538
esport,24664535
tennis,444234900
esport,976183800
football,961573518
boardgames,257082031
motosport,137678818
volleyball,456256906
extreme,335696332
boardgames,995500139
autosport,110161928
football,590168531
football,673717013
martial_arts,248974925
esport,406687238
martial_arts,432727237
football,447660100
athletics,731046922
athletics,455599238
motosport,147606020
tennis,314730615
autosport,158877415
tennis,777388529
hockey,656339234
basketball,595894929
boardgames,300018033
motosport,252055117
athletics,241306824
basketball,877868208
athletics,723062002
boardgames,588492128
volleyball,503286621
volleyball,586438336
volleyball,810648433
autosport,412582902
volleyball,235819036
autosport,172134431
tennis,193979004
basketball,704493238
athletics,365511913
tennis,32860111
extreme,650371125
martial_arts,452466036
motosport,433461909
autosport,682868217
volleyball,346973015
athletics,110567026
winter_sport,136458830
basketball,675949807
athletics,214726412
esport,69666901
basketball,876801624
hockey,976274208
boardgames,780437412
basketball,162043401
hockey,202488729
basketball,194289811
athletics,939633505
tennis,483184820
autosport,306441436
tennis,277343111
football,74652019
tennis,860103302
athletics,962409113
volleyball,940643711
winter_sport,216195912
boardgames,888914411
motosport,874257909
athletics,893681523
athletics,538156330
tennis,340097918
volleyball,484354931
volleyball,53073826
motosport,533687714
athletics,720980602
martial_arts,372619507
athletics,430070319
hockey,742321024
motosport,587551436
volleyball,502274308
martial_arts,70553008
autosport,32734003
autosport,555013438
volleyball,923012209
autosport,253041238
hockey,402635101
tennis,757687928
football,634077333
esport,320128527
hockey,347076136
martial_arts,105159200
hockey,487808124
athletics,940142725
extreme,759335729
autosport,169782234
football,528610528
volleyball,99316638
basketball,978152436
martial_arts,793498528
autosport,626724033
tennis,291959212
esport,474818525
volleyball,254914715
martial_arts,470533206
boardgames,113480613
volleyball,801282329
tennis,77263526
autosport,249356330
hockey,330126734
volleyball,411875725
autosport,663177038
autosport,137256429
basketball,615111916
tennis,341006523
autosport,38686015
tennis,692941415
tennis,454649416
athletics,328610001
martial_arts,395618404
extreme,257343433
motosport,610069617
motosport,949858220
volleyball,219391807
winter_sport,512892704
motosport,951953731
motosport,223866238
athletics,762195413
football,119067016
motosport,358997321
boardgames,588492128
winter_sport,502752932
tennis,246331928
volleyball,34632917
tennis,87954633
